74,20,BWL-SAU,BWL-SAUCE,INACTIVE,2,2,2018-02-12 00:05:07,2018-06-04 12:55:15,NULL
75,20,BWL-SUR,BWL-SAUCER,INACTIVE,2,2,2018-02-12 00:05:08,2018-06-04 12:56:05,NULL
76,20,BWL-SOP,BWL-SOUP,INACTIVE,2,2,2018-02-12 00:05:08,2018-06-04 12:56:05,NULL
77,30,CAO-N/A,CAO-N/A,INACTIVE,2,2,2018-02-12 00:05:08,2018-06-04 12:56:05,NULL
78,62,CBL-FRZ,CBL-FREEZER,INACTIVE,2,2,2018-02-12 00:05:08,2018-06-04 12:56:05,NULL
79,62,CBL-FZN,CBL-FROZEN,INACTIVE,2,2,2018-02-12 00:05:08,2018-06-04 12:56:05,NULL
80,29,CBN-OVR,CBN-OVERHEAD,INACTIVE,2,2,2018-02-12 00:05:08,2018-06-04 12:56:05,NULL
81,29,CBN-STM,CBN-STEAMER,INACTIVE,2,2,2018-02-12 00:05:08,2018-06-04 12:56:05,NULL
82,32,CDL-WAX,CDL-WAX,INACTIVE,2,2,2018-02-12 00:05:08,2018-06-04 12:56:05,NULL
83,52,CDM-FUK,CDM-FUKUJINZUKE,INACTIVE,2,2,2018-02-12 00:05:08,2018-06-04 12:56:05,NULL
84,52,CDM-MYN,CDM-MAYONNAISE,ACTIVE,2,2,2018-02-12 00:05:08,2018-07-05 16:58:10,NULL
85,52,CDM-MST,CDM-MUSTARD,ACTIVE,2,2,2018-02-12 00:05:08,2018-04-13 22:06:26,NULL
86,52,CDM-MRN,CDM-MIRIN,ACTIVE,2,2,2018-02-12 00:05:08,2018-05-08 21:05:52,NULL
87,52,CDM-VNG,CDM-VINEGAR,INACTIVE,2,2,2018-02-12 00:05:08,2018-03-30 00:16:42,NULL
88,52,CDM-WSB,CDM-WASABI,INACTIVE,2,2,2018-02-12 00:05:09,2018-03-30 00:16:48,NULL
89,43,CEY-FRZ,CEY-FREEZER,INACTIVE,2,2,2018-02-12 00:05:09,2018-06-04 12:56:53,NULL
