Category Description,Subcategory Code,Subcategory Description,Status
OIL,OIL-LAR,OIL-LARD,ACTIVE
OIL,OIL-SCH,OIL-SCHMALTZ,ACTIVE
OTHER FEES,OTF-LBM,OTF-LABOR & MATERIALS FEE,ACTIVE
OTHER FEES,OTF-PRF,OTF-PROFESSIONAL FEES,ACTIVE
OTHER FEES,OTF-POG,OTF-PURCHASE OF GOODS,ACTIVE
OTHER FEES,OTF-RTF,OTF-RENTAL FEES,ACTIVE
OTHER FEES,OTF-SVC,OTF-SERVICES,ACTIVE
OX,OX0-TAI,OX0-TAIL,ACTIVE
OX,OX0-TNG,OX0-TONGUE,ACTIVE
PLANT,PLN-ALS,PLN-ALFALFA SPROUT,ACTIVE
PLANT,PLN-BNL,PLN-BANANA LEAVES,ACTIVE
PLANT,PLN-BAL,PLN-BAY LEAF,ACTIVE
PLANT,PLN-CMT,PLN-CAMOTE TOPS,ACTIVE
PLANT,PLN-CPR,PLN-CAPERS,ACTIVE
PLANT,PLN-CHS,PLN-CHIA SEED,ACTIVE
PLANT,PLN-CLU,PLN-CURRY LEAVES,ACTIVE
PLANT,PLN-GNG,PLN-GINGER,ACTIVE
PLANT,PLN-HIB,PLN-HIBISCUS,ACTIVE
PLANT,PLN-LMG,PLN-LEMONGRASS,ACTIVE
PLANT,PLN-LNT,PLN-LENTILS,ACTIVE
PLANT,PLN-MIG,PLN-MICRO GREENS,ACTIVE
PLANT,PLN-PNL,PLN-PANDAN LEAVES,ACTIVE
PLANT,PLN-SWD,PLN-SEAWEED,ACTIVE
PLANT,PLN-SSM,PLN-SESAME SEED,ACTIVE
PLANT,PLN-SHL,PLN-SHISO LEAVES,ACTIVE
PAPER,PPR-FLT,PPR-FILTER,ACTIVE
PAPER,PPR-PCM,PPR-PARCHMENT,ACTIVE
PAPER,PPR-WAX,PPR-WAX,ACTIVE
PORK,PRK-ASD,PRK-ASADO,ACTIVE
PORK,PRK-BCF,PRK-BACK FAT,ACTIVE
PORK,PRK-BKB,PRK-BACKBONE,ACTIVE
PORK,PRK-BAC,PRK-BACON,ACTIVE
PORK,PRK-BKR,PRK-BAKURETSU,ACTIVE
PORK,PRK-BLY,PRK-BELLY,ACTIVE
PORK,PRK-BTT,PRK-BUTT,ACTIVE
PORK,PRK-BUB,PRK-BUTTON BONES,ACTIVE
PORK,PRK-CHA,PRK-CHASHU,ACTIVE
PORK,PRK-CHK,PRK-CHEEK,ACTIVE
PORK,PRK-DUM,PRK-DUMPLINGS,ACTIVE
PORK,PRK-EAR,PRK-EARS,ACTIVE
PORK,PRK-RP,PRK-GROUND PORK,ACTIVE
PORK,PRK-GYO,PRK-GYOZA,ACTIVE
PORK,PRK-HAM,PRK-HAM,ACTIVE
PORK,PRK-HDB,PRK-HEADBONE,ACTIVE
PORK,PRK-HTD,PRK-HOTDOG,ACTIVE
PORK,PRK-INT,PRK-INTESTINE,ACTIVE
PORK,PRK-KKN,PRK-KAKUNI,ACTIVE
PORK,PRK-LGB,PRK-LEGBONE,ACTIVE
PORK,PRK-LVR,PRK-LIVER,ACTIVE
PORK,PRK-LOI,PRK-LOIN,ACTIVE
PORK,PRK-LCM,PRK-LUNCHEON MEAT,ACTIVE
PORK,PRK-MSK,PRK-MASK,ACTIVE
PORK,PRK-MTB,PRK-MEATBALLS,ACTIVE
PORK,PRK-PNC,PRK-PANCETTA,ACTIVE
PORK,PRK-PRC,PRK-PORKCHOP,ACTIVE
PORK,PRK-PRS,PRK-PROSCIUTTO,ACTIVE
PORK,PRK-RIB,PRK-RIBS,ACTIVE
PORK,PRK-SLM,PRK-SALAMI,ACTIVE
PORK,PRK-SAU,PRK-SAUSAGE,ACTIVE
PORK,PRK-SCR,PRK-SCRAP,ACTIVE
PORK,PRK-SHL,PRK-SHOULDER,ACTIVE
PORK,PRK-SIO,PRK-SIOMAI,ACTIVE
PORK,PRK-SFB,PRK-SOFTBONE,ACTIVE
PORK,PRK-SPM,PRK-SPAM,ACTIVE
PORK,PRK-TRT,PRK-TROTTER,ACTIVE
PASTA,PST-FRF,PST-FARFALLE,ACTIVE
PASTA,PST-FTC,PST-FETTUCINE,ACTIVE
PASTA,PST-FUS,PST-FUSILLI,ACTIVE
PASTA,PST-LSG,PST-LASAGNA,ACTIVE
PASTA,PST-LNG,PST-LINGUINE,ACTIVE
PASTA,PST-MCR,PST-MACARONI,ACTIVE
PASTA,PST-PNE,PST-PENNE,ACTIVE
PASTA,PST-SPG,PST-SPAGHETTI,ACTIVE
SAUCE,SCE-FLV,SCE-FLAVORED SAUCE,ACTIVE
SAUCE,SCE-SAD,SCE-SALAD DRESSING,ACTIVE
SAUCE,SCE-SPS,SCE-SPECIALTY SAUCE,ACTIVE
SEASONING,SEA-PWD,SEA-POWDER,ACTIVE
SEASONING,SEA-SLT,SEA-SALT,ACTIVE
SEASONING,SEA-SOY,SEA-SOY SAUCE,ACTIVE
SEASONING,SEA-VNG,SEA-VINEGAR,ACTIVE
SEAFOOD,SFD-ANC,SFD-ANCHOVIES,ACTIVE
SEAFOOD,SFD-APH,SFD-APAHAP,ACTIVE
SEAFOOD,SFD-CKW,SFD-CHIKUWA,ACTIVE
SEAFOOD,SFD-CLM,SFD-CLAMS,ACTIVE
SEAFOOD,SFD-CRB,SFD-CRAB,ACTIVE
SEAFOOD,SFD-CLT,SFD-CRABLETS,ACTIVE
SEAFOOD,SFD-CTF,SFD-CUTTLEFISH,ACTIVE
SEAFOOD,SFD-EBK,SFD-EBIKO,ACTIVE
SEAFOOD,SFD-EEL,SFD-EEL,ACTIVE
SEAFOOD,SFD-FSK,SFD-FISH CAKE,ACTIVE
SEAFOOD,SFD-GND,SFD-GINDARA,ACTIVE
SEAFOOD,SFD-LAP,SFD-LAPU LAPU,ACTIVE
SEAFOOD,SFD-LBS,SFD-LOBSTER,ACTIVE
SEAFOOD,SFD-MCK,SFD-MACKEREL,ACTIVE
SEAFOOD,SFD-MNT,SFD-MENTAIKO,ACTIVE
SEAFOOD,SFD-MKF,SFD-MILKFISH,ACTIVE
SEAFOOD,SFD-MSL,SFD-MUSSELS,ACTIVE
SEAFOOD,SFD-NRT,SFD-NARUTO,ACTIVE
SEAFOOD,SFD-OCT,SFD-OCTOPUS,ACTIVE
SEAFOOD,SFD-OYS,SFD-OYSTER,ACTIVE
SEAFOOD,SFD-SAL,SFD-SALMON,ACTIVE
SEAFOOD,SFD-SRD,SFD-SARDINES,ACTIVE
SEAFOOD,SFD-SCL,SFD-SCALLOPS,ACTIVE
SEAFOOD,SFD-SEU,SFD-SEA URCHIN,ACTIVE
SEAFOOD,SFD-SHM,SFD-SHRIMP,ACTIVE
SEAFOOD,SFD-SIL,SFD-SILAGO,ACTIVE
SEAFOOD,SFD-SLF,SFD-SILVER FISH,ACTIVE
SEAFOOD,SFD-SLE,SFD-SOLE,ACTIVE
SEAFOOD,SFD-SQD,SFD-SQUID,ACTIVE
SEAFOOD,SFD-TLP,SFD-TILAPIA,ACTIVE
SEAFOOD,SFD-TBK,SFD-TOBIKO,ACTIVE
SEAFOOD,SFD-TNA,SFD-TUNA,ACTIVE
SPICES,SPC-CAR,SPC-CARDAMOM,ACTIVE
SPICES,SPC-CRW,SPC-CARRAWAY,ACTIVE
SPICES,SPC-CNS,SPC-CINNAMON,ACTIVE
SPICES,SPC-CLV,SPC-CLOVES,ACTIVE
SPICES,SPC-CRS,SPC-CORIANDER SEED,ACTIVE
SPICES,SPC-CMN,SPC-CUMIN,ACTIVE
SPICES,SPC-DRD,SPC-DRIED,ACTIVE
SPICES,SPC-FEN,SPC-FENNEL,ACTIVE
SPICES,SPC-GAM,SPC-GARAM MASALA,ACTIVE
SPICES,SPC-MSS,SPC-MUSTARD SEEDS,ACTIVE
SPICES,SPC-NTM,SPC-NUTMEG,ACTIVE
SPICES,SPC-PPR,SPC-PEPPER,ACTIVE
SPICES,SPC-PWD,SPC-POWDER,ACTIVE
SPICES,SPC-SZE,SPC-SZECHUAN,ACTIVE
SPICES,SPC-TUR,SPC-TURMERIC,ACTIVE
STOCK,STO-SOU,STO-SOUP,ACTIVE
STARCH,STR-KOJ,STR-KONJAC JELLY,ACTIVE
STARCH,STR-PWD,STR-POWDER,ACTIVE
STARCH,STR-SNK,STR-SINK,ACTIVE
STARCH,STR-SKR,STR-SINKERS,ACTIVE
TOILET FIXTURES,TLF-DPC,TLF-DIAPER CHANGING STATION,ACTIVE
TOILET FIXTURES,TLF-FCT,TLF-FAUCET,ACTIVE
TOILET FIXTURES,TLF-HDR,TLF-HAND DRYER,ACTIVE
TOILET FIXTURES,TLF-HDB,TLF-HANDLE BAR,ACTIVE
TOILET FIXTURES,TLF-LVT,TLF-LAVATORY,ACTIVE
TOILET FIXTURES,TLF-MRR,TLF-MIRROR,ACTIVE
TOILET FIXTURES,TLF-SPD,TLF-SOAP DISPENSER,ACTIVE
TOILET FIXTURES,TLF-TSH,TLF-TISSUE HOLDER,ACTIVE
TOILET FIXTURES,TLF-URI,TLF-URINAL,ACTIVE
TOILET FIXTURES,TLF-WTC,TLF-WATER CLOSET,ACTIVE
UNIFORMS,UNI-APR,UNI-APRON,ACTIVE
UNIFORMS,UNI-BTS,UNI-BOOTS,ACTIVE
UNIFORMS,UNI-CAP,UNI-CAP,ACTIVE
UNIFORMS,UNI-CHK,UNI-CHEF'S JACKET,ACTIVE
UNIFORMS,UNI-FCM,UNI-FACEMASK,ACTIVE
UNIFORMS,UNI-FZJ,UNI-FREEZER JACKET,ACTIVE
UNIFORMS,UNI-HAT,UNI-HAT,ACTIVE
UNIFORMS,UNI-LBG,UNI-LABORATORY GOWN,ACTIVE
UNIFORMS,UNI-NMP,UNI-NAME PLATE,ACTIVE
UNIFORMS,UNI-NKC,UNI-NECKERCHIEF,ACTIVE
UNIFORMS,UNI-PNT,UNI-PANTS,ACTIVE
UNIFORMS,UNI-RAI,UNI-RAINCOAT,ACTIVE
UNIFORMS,UNI-SHT,UNI-SHIRT,ACTIVE
UNIFORMS,UNI-SOE,UNI-SHOES,ACTIVE
UNIFORMS,UNI-UTB,UNI-UTILITY BAG,ACTIVE
VEGETABLE,VGT-AMP,VGT-AMPALAYA,ACTIVE
VEGETABLE,VGT-ASP,VGT-ASPARAGUS,ACTIVE
VEGETABLE,VGT-BMS,VGT-BAMBOO SHOOT,ACTIVE
VEGETABLE,VGT-BNS,VGT-BEANS,ACTIVE
VEGETABLE,VGT-BER,VGT-BEET ROOT,ACTIVE
VEGETABLE,VGT-BKC,VGT-BOKCHOY,ACTIVE
VEGETABLE,VGT-BRO,VGT-BROCOLLI,ACTIVE
VEGETABLE,VGT-CBG,VGT-CABBAGE,ACTIVE
VEGETABLE,VGT-CNG,VGT-CANNED GOODS,ACTIVE
VEGETABLE,VGT-CRO,VGT-CARROTS,ACTIVE
VEGETABLE,VGT-CAU,VGT-CAULIFLOWER,ACTIVE
VEGETABLE,VGT-CLR,VGT-CELERY,ACTIVE
VEGETABLE,VGT-CHV,VGT-CHIVES,ACTIVE
VEGETABLE,VGT-CRN,VGT-CORN,ACTIVE
VEGETABLE,VGT-CCM,VGT-CUCUMBER,ACTIVE
VEGETABLE,VGT-GRL,VGT-GARLIC,ACTIVE
VEGETABLE,VGT-GNG,VGT-GINGER,ACTIVE
VEGETABLE,VGT-KLE,VGT-KALE,ACTIVE
VEGETABLE,VGT-KUC,VGT-KUCHAY,ACTIVE
VEGETABLE,VGT-LKS,VGT-LEEKS,ACTIVE
VEGETABLE,VGT-LET,VGT-LETTUCE,ACTIVE
VEGETABLE,VGT-LOR,VGT-LOTUS ROOT,ACTIVE
VEGETABLE,VGT-MLG,VGT-MALUNGGAY,ACTIVE
VEGETABLE,VGT-MSG,VGT-MUSTARD GREENS,ACTIVE
VEGETABLE,VGT-OKR,VGT-OKRA,ACTIVE
VEGETABLE,VGT-ONI,VGT-ONION,ACTIVE
VEGETABLE,VGT-PEA,VGT-PEAS,ACTIVE
VEGETABLE,VGT-PCY,VGT-PECHAY,ACTIVE
VEGETABLE,VGT-PTT,VGT-POTATO,ACTIVE
VEGETABLE,VGT-PWD,VGT-POWDER,ACTIVE
VEGETABLE,VGT-RDS,VGT-RADISH,ACTIVE
VEGETABLE,VGT-SYT,VGT-SAYOTE,ACTIVE
VEGETABLE,VGT-SNP,VGT-SNOW PEAS,ACTIVE
VEGETABLE,VGT-SPN,VGT-SPINACH,ACTIVE
VEGETABLE,VGT-SQU,VGT-SQUASH,ACTIVE
VEGETABLE,VGT-TAR,VGT-TARO,ACTIVE
VEGETABLE,VGT-TNP,VGT-TURNIP,ACTIVE
VEGETABLE,VGT-WTC,VGT-WATERCRESS,ACTIVE
VEGETABLE,VGT-YAM,VGT-YAM,ACTIVE
WRAPPER,WRP-RCE,WRP-RICE,ACTIVE
WRAPPER,WRP-WNT,WRP-WANTON,ACTIVE
